worker_id,trust_level,sigma_ratio,outlier_prob
0,trusted,0.050958241942238525,0.008777568795041046
1,trusted,0.0543439167964553,0.013947360581187278
2,trusted,0.02376709391550598,0.01951244703273512
3,trusted,0.05044558807961411,0.015721286105539075
4,trusted,0.025124545307021837,0.009007718757911343
5,trusted,0.03483192096930325,0.018535299776972037
6,trusted,0.04575460480322658,0.0164552322654166
7,trusted,0.03773656795309324,0.0045447744356955375
8,trusted,0.04218339148063339,0.0012763451220835064
9,trusted,0.05310524687970328,0.012633287982441297
10,trusted,0.050323509603414945,0.007090519362597367
11,trusted,0.05882792097579613,0.017862422426443952
12,trusted,0.05113533988295047,0.0038927741570393515
13,trusted,0.03866884014908137,0.0008760753157445756
14,trusted,0.026171579682701913,0.013660979064849093
15,trusted,0.04979048623631268,0.0193501946486842
16,trusted,0.03303301432552608,0.0074091941206973775
17,trusted,0.038782232451032315,0.003789427181685714
18,trusted,0.025196860213418867,0.009514098524518675
19,trusted,0.029076373962035364,0.013396279893650206
20,trusted,0.037486076754893224,0.016653563921156748
21,trusted,0.04801060408008996,0.006247332827640822
22,trusted,0.053290392055808045,0.01609528714993604
23,trusted,0.03549913516120698,0.005766562078604882
24,trusted,0.047299820158999015,0.002795049672186196
25,trusted,0.027996328099004333,0.00014724539502011024
26,trusted,0.05147697510008553,0.013297017131840644
27,trusted,0.0482066151450534,0.015614580620439357
28,trusted,0.038356631021533596,0.011374823919057876
29,trusted,0.0255918799251063,0.002290601470719469
30,trusted,0.04673611847161886,0.00942192412286265
31,trusted,0.04260944425924755,0.015299977148320511
32,trusted,0.04538873280002363,0.011071588013159916
33,trusted,0.042368286429816535,0.006079001961252244
34,trusted,0.021232713382717577,0.008734347784647248
35,trusted,0.028583386912781165,0.008170572874492724
36,trusted,0.05413612293072664,0.004678789717306815
37,trusted,0.02233210966756264,0.0056276778404399305
38,trusted,0.03174375031066734,0.0132383302945379
39,trusted,0.04228128609365113,0.01567796418212827
40,normal,0.14643135403273877,0.058447080300804935
41,normal,0.16140203846660345,0.041688104393539274
42,normal,0.08227120731338605,0.036303350254294924
43,normal,0.15223593505964503,0.06233140611759712
44,normal,0.09612717790336017,0.06507313425723546
45,normal,0.09523121027131684,0.07874242625544153
46,normal,0.12461562755740307,0.05667148582675377
47,normal,0.11015120891478765,0.07411978151832219
48,normal,0.11618126105533905,0.03613549435212707
49,normal,0.09180059021205153,0.09733283651846603
50,normal,0.1708580690707607,0.07897949936675247
51,normal,0.10658699614595196,0.09784234641434068
52,normal,0.15787509039657946,0.0801823132411297
53,normal,0.12493615021437887,0.04905690932916113
54,normal,0.08963909621534993,0.09318216775806892
55,normal,0.1255776289833611,0.044165435535666125
56,normal,0.11059566241506524,0.07054536982593272
57,normal,0.09767727829392317,0.08996299988646629
58,normal,0.155851952983521,0.08036240691656557
59,normal,0.12320930397751037,0.07391161884917102
60,normal,0.13840979689127356,0.07548926210883741
61,normal,0.0884444321139889,0.05910651815194268
62,normal,0.08416141738618925,0.06457935734711633
63,normal,0.11298612123327853,0.04011669322062328
64,normal,0.09034029677225516,0.07113512005243985
65,normal,0.09705929685368861,0.09475840828637581
66,normal,0.1381061139700395,0.0542808863174386
67,normal,0.13909154914814167,0.03159627097207882
68,normal,0.17585592132414452,0.06376124058600302
69,normal,0.15827352272502862,0.035791099994570696
70,normal,0.12866583308381602,0.06434948960481646
71,normal,0.17378264549749828,0.07002096366632528
72,normal,0.12734894010569536,0.04868829641643255
73,normal,0.11315689973425522,0.06644706817300765
74,normal,0.12389114603050466,0.03151284559162313
75,normal,0.1626291924194358,0.09273125402878367
76,normal,0.09402490889986108,0.06878253004773346
77,normal,0.09085757411354435,0.07705680651278682
78,normal,0.10812337838390083,0.07615958442843312
79,normal,0.15269946142868826,0.083805324434236
80,normal,0.09077409459558966,0.09412082915963256
81,normal,0.10302139908948808,0.03261887893233258
82,normal,0.13548524693914832,0.05596455987037072
83,normal,0.16297897431324132,0.08657760304450113
84,normal,0.11171388928227154,0.09670295765488215
85,normal,0.10909178381401186,0.06605399904622003
86,normal,0.10559650905676027,0.09552304990342744
87,normal,0.09646078175820182,0.03314374335746303
88,normal,0.12350970600030378,0.0994662894839086
89,normal,0.1691677266254914,0.08240256136198645
90,normal,0.1690792490878525,0.09254126477885043
91,normal,0.1318858360386449,0.05211503362815551
92,normal,0.1572012432110988,0.07631628842174329
93,normal,0.117365772887371,0.036612666764306065
94,normal,0.1546789611349026,0.04837223611460053
95,normal,0.17368131505337792,0.046867940250397935
96,normal,0.0922757932411486,0.08817788704874344
97,normal,0.0953284316624494,0.042548781571041736
98,normal,0.13993827915208434,0.09121934285862252
99,normal,0.09964346657145733,0.051722657103006636
100,normal,0.15774048382411776,0.09802784982426772
101,normal,0.1300741186202342,0.040072825178587554
102,normal,0.08139362877082015,0.04607592209991987
